token,polarity
first-rate,10
legendary,10
powerful,10
must-see,10
award-winning,10
spectacular,10
highlet,10
outstanding,10
ovation,10
triumph,10
fabulous,10
oscar,10
astounding,10
love,10
lovely,10
majestic,10
mindblowing,10
gorgeous,10
enjoyable,9
original,9
pleasant,9
magical,9
well-paced,9
blockbuster,9
awesome,9
appreciate,9
successful,9
amazing,9
brilliant,9
wonderful,9
impressive,9
nailed,9
pride,9
adorable,9
appealing,9
awestruck,9
charming,9
surprising,8
hilarious,8
recommended,8
superb,8
wow,8
excellent,8
superhit,8
congratulate,8
handsome,8
admire,8
admiring,8
deserved,8
delighted,8
magic,8
super,8
great,8
respect,8
luv,8
funniest,8
cool,8
enthusiast,8
professional,8
aspirations,8
astounding,8
astonished,8
comical,7
fascinating,7
remarkable,7
family-friendly,7
fantastic,7
family-entertainer,7
win,7
victory,7
emphatic,7
flawless,7
splendid,7
Mashallah,7
excite,7
excited,7
happiest,7
Wow,7
enjoy,7
entertain,7
cheer,7
sunshine,7
accomplish,7
achievable,7
achievement,7
crazy,7
booming,7
brilliant,7
sensational,7
trendy,7
thrilling,6
adventurous,6
interesting,6
super,6
perfect,6
favorite,6
classic,6
likely,6
influential,6
mighty,6
amazing,6
inspire,6
laugh,6
award,6
lucky,6
yay,6
reward,6
fun,6
benefit,6
energetic,6
funny,6
smart,6
biggie,6
affectionate,6
all-rounder,6
appreciative,6
assurance,6
fame,6
hit,6
sensitive,5
tender,5
charming,5
sweet,5
best,5
amazing,5
convincing,5
strong,5
celebration,5
help,5
prom,5
bless,5
cutest,5
happy,5
yummy,5
pretty,5
honest,5
pleasure,5
sweet,5
affinity,5
unbeatable,5
breathtaking,5
prestigious,5
narrative,4
playful,4
potent,4
thought-provoking,4
good,4
strength,4
well,4
nice,4
cheer,4
success,4
trust,4
relieve,4
proud,4
harmony,4
improve,4
satisfaction,4
encourage,4
attentive,4
attractive,4
darling,4
dashing,4
dazzling,4
Imaginative,3
uproarious,3
intensive,3
solid,3
sufficient,3
encouraging,3
sublime,3
positive,3
champ,3
impress,3
interest,3
devote,3
strong,3
glad,3
attentive,3
spacious,3
affordable,3
creative,3
originality,3
world-famous,3
cinematic,2
mysterious,2
effective,2
mystical,2
beautiful,2
peace,2
graceful,2
hope,2
heroic,2
attract,2
grand,2
fair,2
heal,2
heartfelt,2
bliss,2
joy,2
merry,2
fantasy,2
caring,2
energetic,2
impressive,2
worthwhile,1
graphic,1
meaningful,1
encourage,1
harmony,1
play,1
freedom,1
everlasting,1
